tecnica,model,fold,accuracy,precision,recall,f1,best_params,configuracao
Bag of Words,LR,1,0.70325,0.670440251572327,0.7995,0.7293044469783352,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,2,0.6915,0.664944013781223,0.772,0.7144840351689032,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,3,0.70325,0.6733475479744137,0.7895,0.7268124280782509,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,4,0.70225,0.6767147225862822,0.7745,0.7223128934483563,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,LR,5,0.7035,0.6724576271186441,0.7935,0.7279816513761468,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,RF,1,0.64825,0.6006791171477079,0.8845,0.7154701718907988,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,RF,2,0.64075,0.5974385600553825,0.863,0.706074861934956,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,RF,3,0.65925,0.6084439904664624,0.8935,0.723921409763014,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,RF,4,0.65575,0.6058443764865783,0.8915,0.7214242362937487,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,RF,5,0.6575,0.6106816584680252,0.869,0.7172926124638878,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,SVM,1,0.70175,0.6623742454728371,0.823,0.7340022296544035,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,SVM,2,0.6845,0.6531120331950208,0.787,0.7138321995464852,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,SVM,3,0.69125,0.6559315124337546,0.8045,0.7226588816528183,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,SVM,4,0.6995,0.664332784184514,0.8065,0.7285456187895212,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
Bag of Words,SVM,5,0.7015,0.6626311541565779,0.821,0.733363108530594,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 5, 'max_df': 0.9}"
TF-IDF,DT,1,0.56575,0.5357239880467264,0.986,0.694243971131843,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,DT,2,0.56175,0.5335324463752376,0.9825,0.6915361604786204,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,DT,3,0.56525,0.5357045143638851,0.979,0.6924845269672856,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
TF-IDF,DT,4,0.5715,0.5391995614035088,0.9835,0.6965297450424929,"{'class_weight': 'balanced', 'max_depth': 10}","{'ngram_range': (1, 1), 'min_df': 2, 'sublinear_tf': False, 'max_features': 10000}"
